TSNE_1,TSNE_2
-50.4645,-1.226249
-16.006847,57.988865
13.683574,51.134544
39.110176,0.45604923
-60.340992,-8.985458
13.535258,-12.558594
7.177322,77.44506
58.49441,8.927921
-32.816845,-50.398544
-7.67994,-11.752478
9.832593,51.284397
-31.51492,57.995384
3.0458875,-69.84892
-8.629636,9.434605
-60.569775,-9.849497
18.12503,24.596153
50.580128,-24.522062
-59.98417,-8.003383
-8.751503,-16.000586
59.256153,13.370377
-7.671214,-11.737566
7.2867656,34.590218
-60.541172,-9.722081
59.031124,10.949005
6.459229,-67.99331
-16.701012,12.649751
37.143234,-43.191776
-45.746803,-0.900053
-49.352066,-1.0557338
-0.30770612,-2.8176057
-13.413403,11.310012
-1.6879897,-71.09379
1.0839326,-45.928467
-0.1494093,51.312496
-33.88832,-26.490576
-13.424092,-68.55309
-8.079614,-19.39078
37.99384,37.453262
-12.768377,30.039862
-18.92748,-37.9728
54.61353,22.438946
2.0846503,67.2954
8.011197,78.22882
46.363914,-17.044996
36.13202,6.776188
-58.48549,-5.620925
48.33898,-19.956196
-34.843193,-47.793076
49.40047,-21.73977
-23.99659,-3.4863155
7.934718,-24.58981
58.427715,17.339983
3.746947,-47.196342
27.32462,-38.963715
-5.9811516,8.6346655
-20.500572,-4.184818
-6.827115,-10.399395
-38.49662,-37.131054
-10.904452,-41.27581
19.47234,-13.030572
-1.1209211,22.965757
-32.369453,-24.865835
-59.90416,17.968561
-24.360037,-18.236177
-33.215622,-25.725029
-21.361927,-3.9772515
10.844358,30.324934
-14.933037,32.03187
50.039177,26.562338
4.366685,-47.52229
17.98977,24.686588
2.1641135,16.562218
-48.703903,28.519566
-11.500126,-69.50066
6.945992,-23.426619
-22.930372,-60.271194
-21.618607,35.10709
-5.894241,8.616287
-4.249234,-7.231237
37.79856,3.5176861
-37.577724,-32.81856
-38.472046,-38.570316
-40.4056,-1.4029632
-52.08776,-1.6369389
2.861516,4.0823317
-8.496485,-13.906375
29.788847,44.237656
-35.56219,-28.811966
45.022446,-15.010301
58.45775,8.824627
-28.267485,15.910712
-34.31897,55.69202
-42.050327,-1.2085395
0.03076173,51.295605
-38.51107,-37.576683
11.423199,-61.684452
-32.813454,-50.402573
-37.909973,-41.7676
6.9470806,-23.427528
-45.0585,31.08474
-27.929092,-2.9565687
2.1054525,64.02002
-2.3831546,-5.2202535
26.13841,46.73783
2.8475928,14.583174
-53.12107,-22.69816
46.06924,30.101753
-37.746674,34.632874
-58.000214,-18.152544
-54.81822,22.859455
-7.948427,-19.64881
2.9899087,71.772064
49.88385,26.701355
22.428505,21.68116
-48.721825,28.506748
15.157472,26.697613
17.34378,25.12964
-16.81371,58.416367
-21.93023,-61.23508
-5.9231763,8.621852
47.02443,-17.99051
1.6236502,0.25917473
-29.152279,-22.033516
-35.937138,-2.0201414
-16.70075,58.357895
43.649193,-12.064479
34.920147,-43.03739
-58.02186,19.716764
-33.675575,35.72364
29.444523,15.731347
11.270274,-54.39095
-25.161533,35.87917
37.98474,-43.112
-59.529762,-7.1201468
-23.426702,60.338585
-29.71434,16.290304
-23.182821,-60.036972
-12.818417,-68.87954
-37.822914,-33.60497
15.960957,50.82071
-17.422718,-38.60311
-40.083317,-1.4481753
11.516016,-62.04811
5.170755,51.169487
-34.28862,35.605453
43.73531,-12.804312
17.15073,-31.017859
-13.225347,56.35592
-29.164,-22.03413
-56.88075,-4.051783
-21.967243,-15.625175
18.405588,-31.724007
-37.990227,-34.235607
-7.441911,-20.510942
6.155107,51.195274
71.456894,-8.055826
19.954716,23.349157
63.20772,-6.580982
11.962036,-61.178383
40.346252,-3.1152794
55.038723,21.98455
-35.995,18.902483
14.575624,27.141026
-43.3995,32.086975
-42.606506,-1.1491017
-33.77616,-49.189873
26.42841,-13.158787
9.565467,-64.983955
51.18946,-28.38412
19.984997,23.326876
5.5331564,-48.201336
20.412302,-13.122282
-22.962667,60.29777
57.578453,6.9238067
37.67445,-43.16616
-34.12796,-26.788425
32.143917,42.457706
58.42907,17.336615
-19.225262,13.535789
-33.772854,-2.2988696
34.560524,-42.988842
1.0033095,-45.891182
14.728065,27.022776
2.90898,-46.77555
-31.425497,-51.991978
6.3679314,36.224777
-27.83324,-55.662735
-14.616983,-67.76673
10.0172825,-64.39577
-38.5064,-37.26342
3.9025574,51.15698
26.55739,46.480957
-24.898672,60.3339
35.07819,8.492974
-13.636302,-68.42893
-13.10465,-40.388294
-14.252354,11.664524
-52.717495,-22.979673
24.796822,19.916393
-60.67299,-10.832826
49.317757,-34.45213
32.34179,42.304295
-56.760574,20.938108
-27.879732,36.12907
-30.101524,-2.7160206
2.1753829,16.537466
-1.5317708,23.936653
-17.854347,58.89971
2.531285,70.20884
-23.968437,-18.375357
12.830072,28.53952
-23.871128,-17.548038
10.982286,-62.95178
65.60763,-7.0226855
-6.4872108,-21.46674
-12.152257,-40.774532
3.2448277,6.2581778
2.1087964,63.9554
16.03069,-30.408855
27.38746,45.93671
-24.09224,-17.772022
-9.060642,53.91532
-16.89331,12.719453
-38.523533,-37.730614
-15.294897,12.097097
14.911086,-29.792519
-9.259978,54.01445
-40.63244,33.519394
9.059261,32.19898
-6.09542,-9.42282
42.307835,33.534763
-48.833187,-1.0062675
2.1734817,1.4668003
26.70406,-38.372883
60.733017,-6.1075554
3.126897,72.1724
31.226353,13.697608
-65.52953,13.044338
4.788255,-69.01103
54.650894,22.404118
-5.404474,-71.05039
9.419859,-65.15407
-24.535578,-18.620106
-33.444237,17.555805
-40.728035,33.484993
47.946236,-19.344389
22.872128,21.373383
-16.240294,-39.09399
-27.293804,-3.0304737
21.196857,49.317097
16.130838,50.784603
-27.957571,15.836258
-2.7002842,-5.5616603
-57.73083,-18.493578
-13.909896,56.772087
0.8088573,-1.1331626
-13.487588,-68.51591
-60.562805,-12.197578
59.834587,-5.930913
-8.607463,53.692696
35.859684,7.230617
-3.1274498,-6.022212
-46.730892,29.991617
7.0142617,35.03894
2.1921847,16.485422
0.5388489,19.84639
2.1964598,51.174854
