Songs,Artists,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,hot/not_hot
Paint The Town Red,Doja Cat,['56y1jOTK0XSvJzVv9vHQBK'],0.864,0.556,2,-7.683,0,0.194,0.255,3.85e-06,0.112,0.726,99.974,audio_features,56y1jOTK0XSvJzVv9vHQBK,spotify:track:56y1jOTK0XSvJzVv9vHQBK,https://api.spotify.com/v1/tracks/56y1jOTK0XSvJzVv9vHQBK,https://api.spotify.com/v1/audio-analysis/56y1jOTK0XSvJzVv9vHQBK,230480,4,H
Snooze,SZA,['7HNAsAfrpuY7kSbi1Kuk29'],0.212,0.0375,9,-21.159,0,0.0413,0.992,0.939,0.111,0.12,63.513,audio_features,7HNAsAfrpuY7kSbi1Kuk29,spotify:track:7HNAsAfrpuY7kSbi1Kuk29,https://api.spotify.com/v1/tracks/7HNAsAfrpuY7kSbi1Kuk29,https://api.spotify.com/v1/audio-analysis/7HNAsAfrpuY7kSbi1Kuk29,90642,4,H
Fast Car,Luke Combs,['1ZWEehHLyzfkYn0jVslHCy'],0.918,0.634,10,-5.176,1,0.364,0.171,0.0,0.0819,0.932,135.082,audio_features,1ZWEehHLyzfkYn0jVslHCy,spotify:track:1ZWEehHLyzfkYn0jVslHCy,https://api.spotify.com/v1/tracks/1ZWEehHLyzfkYn0jVslHCy,https://api.spotify.com/v1/audio-analysis/1ZWEehHLyzfkYn0jVslHCy,130889,4,H
Cruel Summer,Taylor Swift,['2EGaDf0cPX789H3LNeB03D'],0.666,0.871,1,-6.017,0,0.0272,0.27,0.0208,0.263,0.936,108.501,audio_features,2EGaDf0cPX789H3LNeB03D,spotify:track:2EGaDf0cPX789H3LNeB03D,https://api.spotify.com/v1/tracks/2EGaDf0cPX789H3LNeB03D,https://api.spotify.com/v1/audio-analysis/2EGaDf0cPX789H3LNeB03D,215326,4,H
I Remember Everything,Zach Bryan Featuring Kacey Musgraves,['7pjPeCHhB5gvwONDGvNtH2'],0.603,0.491,1,-8.745,1,0.052,0.0212,6.54e-06,0.112,0.355,134.95,audio_features,7pjPeCHhB5gvwONDGvNtH2,spotify:track:7pjPeCHhB5gvwONDGvNtH2,https://api.spotify.com/v1/tracks/7pjPeCHhB5gvwONDGvNtH2,https://api.spotify.com/v1/audio-analysis/7pjPeCHhB5gvwONDGvNtH2,260435,4,H
Last Night,Morgan Wallen,['1nX9KhK3Fff27SnrIor2Yb'],0.796,0.5,1,-7.21,1,0.425,0.118,0.0,0.155,0.227,75.012,audio_features,1nX9KhK3Fff27SnrIor2Yb,spotify:track:1nX9KhK3Fff27SnrIor2Yb,https://api.spotify.com/v1/tracks/1nX9KhK3Fff27SnrIor2Yb,https://api.spotify.com/v1/audio-analysis/1nX9KhK3Fff27SnrIor2Yb,255560,4,H
Vampire,Olivia Rodrigo,['6iRPHe7mTb44tqyeckNgYr'],0.803,0.563,9,-10.805,0,0.0872,0.304,0.0,0.142,0.259,128.069,audio_features,6iRPHe7mTb44tqyeckNgYr,spotify:track:6iRPHe7mTb44tqyeckNgYr,https://api.spotify.com/v1/tracks/6iRPHe7mTb44tqyeckNgYr,https://api.spotify.com/v1/audio-analysis/6iRPHe7mTb44tqyeckNgYr,212930,4,H
Fukumean,Gunna,['4rXLjWdF2ZZpXCVTfWcshS'],0.847,0.622,1,-6.747,0,0.0903,0.119,0.0,0.285,0.22,130.001,audio_features,4rXLjWdF2ZZpXCVTfWcshS,spotify:track:4rXLjWdF2ZZpXCVTfWcshS,https://api.spotify.com/v1/tracks/4rXLjWdF2ZZpXCVTfWcshS,https://api.spotify.com/v1/audio-analysis/4rXLjWdF2ZZpXCVTfWcshS,125040,4,H
Calm Down,Rema & Selena Gomez,['5I30ByMf5nhgbSokY1EZiN'],0.901,0.472,11,-8.416,0,0.194,0.0381,0.0,0.11,0.479,120.0,audio_features,5I30ByMf5nhgbSokY1EZiN,spotify:track:5I30ByMf5nhgbSokY1EZiN,https://api.spotify.com/v1/tracks/5I30ByMf5nhgbSokY1EZiN,https://api.spotify.com/v1/audio-analysis/5I30ByMf5nhgbSokY1EZiN,254947,4,H
Dance The Night,Dua Lipa,['2FiHYjZn3IMbkPCnhcyBqT'],0.692,0.336,11,-12.709,0,0.0815,0.627,0.0,0.107,0.472,117.922,audio_features,2FiHYjZn3IMbkPCnhcyBqT,spotify:track:2FiHYjZn3IMbkPCnhcyBqT,https://api.spotify.com/v1/tracks/2FiHYjZn3IMbkPCnhcyBqT,https://api.spotify.com/v1/audio-analysis/2FiHYjZn3IMbkPCnhcyBqT,263000,4,H
Barbie World,Nicki Minaj & Ice Spice With Aqua,['741UUVE2kuITl0c6zuqqbO'],0.77,0.58,0,-8.393,1,0.247,0.519,0.000127,0.233,0.753,144.072,audio_features,741UUVE2kuITl0c6zuqqbO,spotify:track:741UUVE2kuITl0c6zuqqbO,https://api.spotify.com/v1/tracks/741UUVE2kuITl0c6zuqqbO,https://api.spotify.com/v1/audio-analysis/741UUVE2kuITl0c6zuqqbO,109750,4,H
Slime You Out,Drake Featuring SZA,['3RaCGXCiiMufRPoexXxGkV'],0.483,0.408,5,-9.243,0,0.0502,0.508,0.0,0.259,0.105,88.88,audio_features,3RaCGXCiiMufRPoexXxGkV,spotify:track:3RaCGXCiiMufRPoexXxGkV,https://api.spotify.com/v1/tracks/3RaCGXCiiMufRPoexXxGkV,https://api.spotify.com/v1/audio-analysis/3RaCGXCiiMufRPoexXxGkV,310491,3,H
